Longitude,Latitude,Pixel,Scan
22.4719603,-70.5282702,0,0
22.4748474,-70.5282003,100,0
22.4777353,-70.5281303,200,0
22.480624,-70.5280602,300,0
22.4835134,-70.5279901,400,0
22.4864035,-70.5279198,500,0
22.4892945,-70.5278496,600,0
22.4921861,-70.5277792,700,0
22.4950785,-70.5277088,800,0
22.4979717,-70.5276384,900,0
22.5008656,-70.5275678,1000,0
22.5037603,-70.5274972,1100,0
22.5066557,-70.5274266,1200,0
22.5095519,-70.5273558,1300,0
22.5124488,-70.527285,1400,0
22.5153465,-70.5272142,1500,0
22.5182449,-70.5271433,1600,0
22.5211441,-70.5270723,1700,0
22.524044,-70.5270012,1800,0
22.5269447,-70.5269301,1900,0
22.5298462,-70.5268589,2000,0
22.5327484,-70.5267877,2100,0
22.5356514,-70.5267164,2200,0
22.5385551,-70.526645,2300,0
22.5414596,-70.5265735,2400,0
22.5443648,-70.526502,2500,0
22.5472708,-70.5264305,2600,0
22.5501776,-70.5263588,2700,0
22.5530851,-70.5262871,2800,0
22.5559933,-70.5262153,2900,0
22.5589024,-70.5261435,3000,0
22.5618122,-70.5260716,3100,0
22.5647227,-70.5259996,3200,0
22.567634,-70.5259276,3300,0
22.5705461,-70.5258555,3400,0
22.5734589,-70.5257833,3500,0
22.5763725,-70.5257111,3600,0
22.5792869,-70.5256388,3700,0
22.582202,-70.5255664,3800,0
22.5851178,-70.525494,3900,0
22.5880345,-70.5254215,4000,0
22.5909519,-70.525349,4100,0
22.59387,-70.5252763,4200,0
22.596789,-70.5252036,4300,0
22.5997086,-70.5251309,4400,0
22.6026291,-70.525058,4500,0
22.6055503,-70.5249852,4600,0
22.6084723,-70.5249122,4700,0
22.611395,-70.5248392,4800,0
22.6143186,-70.5247661,4900,0
22.6172428,-70.5246929,5000,0
22.6201679,-70.5246197,5100,0
22.6230937,-70.5245464,5200,0
22.6260203,-70.524473,5300,0
22.6289476,-70.5243996,5400,0
22.6318757,-70.5243261,5500,0
22.6348046,-70.5242526,5600,0
22.6377342,-70.5241789,5700,0
22.6406646,-70.5241052,5800,0
22.6435958,-70.5240315,5900,0
22.6465278,-70.5239577,6000,0
22.6494605,-70.5238838,6100,0
22.652394,-70.5238098,6200,0
22.6553282,-70.5237358,6300,0
22.6582633,-70.5236617,6400,0
22.6611991,-70.5235875,6500,0
22.6641356,-70.5235133,6600,0
22.667073,-70.523439,6700,0
22.6700111,-70.5233646,6800,0
22.67295,-70.5232902,6900,0
22.6758896,-70.5232157,7000,0
22.6788301,-70.5231411,7100,0
22.6817713,-70.5230665,7200,0
22.6847132,-70.5229918,7300,0
22.687656,-70.522917,7400,0
22.6905995,-70.5228422,7500,0
22.6935438,-70.5227672,7600,0
22.6964889,-70.5226923,7700,0
22.6994347,-70.5226172,7800,0
22.7023814,-70.5225421,7900,0
22.7053288,-70.5224669,8000,0
22.7082769,-70.5223917,8100,0
22.7112259,-70.5223164,8200,0
22.7141756,-70.522241,8300,0
22.7171261,-70.5221655,8400,0
22.7200774,-70.52209,8500,0
22.7230295,-70.5220144,8600,0
22.7259823,-70.5219388,8700,0
22.7289359,-70.5218631,8800,0
22.7318903,-70.5217873,8900,0
22.7348455,-70.5217114,9000,0
22.7378014,-70.5216355,9100,0
22.7407582,-70.5215595,9200,0
22.7437157,-70.5214834,9300,0
22.746674,-70.5214073,9400,0
22.7496331,-70.5213311,9500,0
22.7525929,-70.5212548,9600,0
22.7555536,-70.5211785,9700,0
22.758515,-70.5211021,9800,0
22.7614772,-70.5210256,9900,0
22.7644402,-70.520949,10000,0
22.7674039,-70.5208724,10100,0
22.7703685,-70.5207957,10200,0
22.7733338,-70.520719,10300,0
22.7762999,-70.5206421,10400,0
22.7792668,-70.5205652,10500,0
22.7822345,-70.5204883,10600,0
22.785203,-70.5204113,10700,0
22.7881723,-70.5203342,10800,0
22.7911423,-70.520257,10900,0
22.7941131,-70.5201797,11000,0
22.7970848,-70.5201024,11100,0
22.8000572,-70.5200251,11200,0
22.8030304,-70.5199476,11300,0
22.8060043,-70.5198701,11400,0
22.8089791,-70.5197925,11500,0
22.8119547,-70.5197148,11600,0
22.814931,-70.5196371,11700,0
22.8179081,-70.5195593,11800,0
22.8208861,-70.5194814,11900,0
22.823835,-70.5194043,11999,0
22.4721503,-70.529167,0,100
22.4750376,-70.529097,100,100
22.4779256,-70.529027,200,100
22.4808144,-70.5289569,300,100
22.4837039,-70.5288868,400,100
